ra,dec,j_m,h_m,k_m
88.792856,7.407109,-2.989,-4.007,-4.378
69.189357,-62.077198,-2.652,-3.732,-4.227
247.35182,-26.431938,-2.85,-3.725,-4.1
258.661911,14.390372,-2.302,-3.224,-3.511
340.666803,-46.884556,-1.973,-2.97,-3.324
187.791408,-57.113186,-1.994,-2.985,-3.258
207.258307,-28.367624,-1.737,-2.689,-3.215
68.980174,16.509201,-2.095,-2.775,-3.044
213.915334,19.182194,-2.252,-2.81,-2.911
202.428217,-23.280968,-1.314,-2.235,-2.663
345.943512,28.082781,-1.432,-2.129,-2.379
335.68522,-45.947891,-0.715,-1.882,-2.351
108.384543,-44.639828,-1.063,-1.873,-2.308
146.889538,11.428794,-0.72,-1.755,-2.292
34.836726,-2.977594,-0.732,-1.574,-2.213
247.160503,41.881664,-0.955,-1.85,-2.134
211.332788,-76.796776,-0.676,-1.739,-2.099
219.899707,-60.835274,-1.454,-1.886,-2.008
198.518224,-2.806959,-0.356,-1.606,-2.003
216.048478,25.704006,-0.661,-1.535,-1.931
46.294078,38.840107,-0.779,-1.675,-1.904
137.661696,30.963114,-0.71,-1.564,-1.873
95.740094,22.513628,-0.912,-1.608,-1.862
17.432979,35.620499,-0.957,-1.674,-1.846
283.833776,43.946201,-0.738,-1.575,-1.837
317.382516,68.490799,-0.496,-1.287,-1.824
45.570011,4.089621,-0.722,-1.607,-1.823
207.361445,-34.450733,-0.578,-1.501,-1.793
125.628445,-59.509468,-0.787,-1.563,-1.782
79.172432,45.997925,-1.249,-1.573,-1.735
93.719456,22.506786,-0.727,-1.515,-1.724
136.999051,-43.432552,-0.539,-1.478,-1.71
326.632727,-2.212779,-0.296,-1.373,-1.708
297.641369,32.914139,0.168,-1.101,-1.695
306.980011,-28.260984,-0.363,-1.254,-1.65
274.406802,-36.761612,-0.424,-1.394,-1.633
325.876894,58.780018,-0.326,-1.264,-1.62
298.808313,-59.195518,-0.2,-1.153,-1.619
355.95583,-15.284547,-0.155,-1.103,-1.605
300.436381,-59.375881,-0.213,-1.197,-1.526
301.730112,-27.224884,-0.085,-1.123,-1.523
143.060818,-62.78886,-0.363,-1.221,-1.515
184.392771,-67.960701,-0.163,-1.195,-1.5
324.010358,45.374565,-0.197,-1.143,-1.405
359.603637,51.388626,0.163,-0.849,-1.404
77.845261,-11.849058,-0.16,-1.071,-1.403
165.14102,-18.324903,0.173,-0.896,-1.403
226.017619,-25.281921,-0.321,-1.202,-1.399
101.286999,-16.715742,-1.391,-1.391,-1.39
240.663248,47.24028,-0.123,-0.921,-1.318
95.98789,-52.695599,-1.169,-1.28,-1.304
222.676495,74.155548,-0.495,-1.225,-1.287
283.626157,36.898643,-0.112,-1.039,-1.255
335.006818,-80.439667,-0.081,-0.921,-1.198
193.900793,3.397427,-0.113,-1.01,-1.189
252.166231,-69.02774,-0.35,-1.024,-1.176
243.586411,-3.694277,-0.131,-1.025,-1.173
269.151558,51.488831,-0.245,-1.034,-1.162
302.941207,-59.936832,0.347,-0.698,-1.137
141.896859,-8.658575,-0.256,-0.99,-1.127
177.163435,-35.986874,0.166,-0.791,-1.125
49.879126,-21.757898,-0.19,-0.977,-1.117
195.65822,5.185647,0.359,-0.638,-1.06
234.117459,15.101341,0.308,-0.847,-1.055
56.809415,-74.238991,0.161,-0.851,-1.025
155.582325,41.499466,-0.108,-0.906,-1.009
309.478016,18.268562,0.345,-0.774,-1.009
109.285604,-37.097507,-0.038,-0.819,-0.993
29.684683,45.435326,0.249,-0.785,-0.978
224.395891,65.932571,0.109,-0.774,-0.957
59.507396,-13.508624,0.103,-0.762,-0.953
188.726779,-67.75695,0.407,-0.637,-0.948
116.328824,28.026127,-0.315,-0.845,-0.936
58.370291,11.406016,1.715,0.075,-0.935
337.439225,-43.749126,0.242,-0.692,-0.914
83.0532,18.59428,0.393,-0.609,-0.913
43.951934,18.331625,0.23,-0.652,-0.868
30.974901,42.329754,-0.018,-0.834,-0.861
